date,cash_conversion_cycle
2012-09-29,-41.102957823339885
2013-09-28,-26.4595351944579
2014-09-27,-36.96650815353534
2015-09-26,-38.96081965919933
2016-09-24,-48.097296686971916
2017-09-30,-57.563304454125074
2018-09-29,-48.42008438219027
2019-09-28,-30.791672956210974
2020-09-26,-32.518771980624756
2021-09-25,-31.183509766207806
2022-09-24,-40.209374330927375
2023-09-30,-37.85452687308083
