date,cash_per_share
2012-09-29,1.1128598599635742
2013-09-28,1.564922636949836
2014-09-27,1.0301825366621247
2015-09-26,1.8076636491576055
2016-09-24,3.0687812795888
2017-09-30,3.5546079710314378
2018-09-29,3.344901911600268
2019-09-28,5.443948396585932
2020-09-26,5.241031369137106
2021-09-25,3.750552652516527
2022-09-24,2.9787931805221803
2023-09-30,3.9096860303942442
