date,company_equity_multiplier
2012-09-29,1.489417138989933
2013-09-28,1.6754486074351067
2014-09-27,2.0783974468161404
2015-09-26,2.433739684135562
2016-09-24,2.5082924623193943
2017-09-30,2.799906003118309
2018-09-29,3.4133013523477094
2019-09-28,3.7410043320661304
2020-09-26,4.957039440456695
2021-09-25,5.563512442542399
2022-09-24,6.961536943479634
2023-09-30,5.673462491552152
