date,days_of_payables_outstanding
2012-09-29,87.98209366391185
2013-09-28,76.58063336022363
2014-09-27,98.18044148301234
2015-09-26,92.46871631605622
2016-09-24,103.61336926074777
2017-09-30,126.92760620497985
2018-09-29,124.57021422115831
2019-09-28,104.31407696777144
2020-09-26,91.04818971567418
2021-09-25,93.85107122231561
2022-09-24,104.6852773031054
2023-09-30,106.72146803214763
