date,capital_expenditure_coverage_ratio
2012-09-29,-5.409061901723038
2013-09-28,-5.9129572498898195
2014-09-27,-6.085091205543667
2015-09-26,-7.0739902506963785
2016-09-24,-4.858576911721287
2017-09-30,-4.9705353653771
2018-09-29,-5.816420040561857
2019-09-28,-6.611815150071463
2020-09-26,-11.037624846080176
2021-09-25,-9.385475868290483
2022-09-24,-11.407452372058275
2023-09-30,-10.08696048909572
