date,accepted_date
2018-12-31,2019-02-19 06:10:16
2019-12-31,2020-02-13 07:12:18
2020-12-31,2021-02-08 07:27:23
2021-12-31,2022-02-04 20:11:27
2022-12-31,2023-01-30 21:29:15
