date,operating_cash_flow_per_share
2012-09-29,1.9429297620346573
2013-09-28,2.071305140693284
2014-09-27,2.4530561794355568
2015-09-26,3.5312034353126602
2016-09-24,3.007958587560914
2017-09-30,3.047491375711535
2018-09-29,3.9065645257666572
2019-09-28,3.7566854936751732
2020-09-26,4.649230448454163
2021-09-25,6.229345884552985
2022-09-24,7.532762624088375
2023-09-30,7.021174930677783
