date,symbol
2012-09-29,AAPL
2013-09-28,AAPL
2014-09-27,AAPL
2015-09-26,AAPL
2016-09-24,AAPL
2017-09-30,AAPL
2018-09-29,AAPL
2019-09-28,AAPL
2020-09-26,AAPL
2021-09-25,AAPL
2022-09-24,AAPL
2023-09-30,AAPL
