date,price_to_free_cash_flows_ratio
2012-09-29,15.04371888794326
2013-09-28,10.018037239623233
2014-09-27,12.287001583166333
2015-09-26,9.458209219381468
2016-09-24,11.79539601729283
2017-09-30,15.827438085152451
2018-09-29,17.445560798802266
2019-09-28,17.15692807457213
2020-09-26,26.556204202548898
2021-09-25,26.39775889148279
2022-09-24,21.888923611981014
2023-09-30,27.06830203155125
