date,days_of_sales_outstanding
2012-09-29,43.5925320111432
2013-09-28,44.08147563044877
2014-09-27,54.35014633879483
2015-09-26,47.387608839826285
2016-09-24,49.59276846952546
2017-09-30,56.80067093014126
2018-09-29,67.33249872926825
2019-09-28,64.25876528784583
2020-09-26,49.78753437881355
2021-09-25,51.390968708397914
2022-09-24,56.400204905560855
2023-09-30,58.07564866874519
