date,free_cash_flow_per_share
2012-09-29,1.583730736892101
2013-09-28,1.721005780634173
2014-09-27,2.0499305570618507
2015-09-26,3.0320221655950435
2016-09-24,2.38885578395926
2017-09-30,2.4343800805099707
2018-09-29,3.2349203703371106
2019-09-28,3.1885078588792926
2020-09-26,4.2280138811865
2021-09-25,5.56562398361035
2022-09-24,6.872425646259799
2023-09-30,6.325110448392176
